SR_WL	SR_Blue	SR_Green	SR_Red	SR_Pan	SR_NIR
542.0000000000	0.0008314754	0.0099742979	0.0000943192	0.0015928857	0.0000876752
543.0000000000	0.0007835147	0.0100107197	0.0000952269	0.0016175233	0.0000883073
544.0000000000	0.0007355539	0.0100471414	0.0000961346	0.0016421610	0.0000889393
545.0000000000	0.0006875932	0.0100835632	0.0000970423	0.0016667987	0.0000895713
546.0000000000	0.0006360631	0.0100702021	0.0000994389	0.0016880949	0.0000854234
547.0000000000	0.0005845330	0.0100568409	0.0001018355	0.0017093911	0.0000812754
548.0000000000	0.0005330029	0.0100434798	0.0001042322	0.0017306872	0.0000771275
549.0000000000	0.0004814728	0.0100301187	0.0001066288	0.0017519834	0.0000729795
550.0000000000	0.0004299426	0.0100167576	0.0001090254	0.0017732796	0.0000688316
551.0000000000	0.0003956376	0.0099934523	0.0001124318	0.0017958512	0.0000635930
552.0000000000	0.0003613326	0.0099701470	0.0001158382	0.0018184228	0.0000583544
553.0000000000	0.0003270276	0.0099468417	0.0001192445	0.0018409943	0.0000531158
554.0000000000	0.0002927226	0.0099235363	0.0001226509	0.0018635659	0.0000478772
555.0000000000	0.0002584176	0.0099002310	0.0001260572	0.0018861374	0.0000426386
556.0000000000	0.0002440312	0.0098746028	0.0001295472	0.0019067721	0.0000425870
557.0000000000	0.0002296448	0.0098489745	0.0001330372	0.0019274068	0.0000425354
558.0000000000	0.0002152584	0.0098233463	0.0001365272	0.0019480415	0.0000424839
559.0000000000	0.0002008720	0.0097977180	0.0001400172	0.0019686762	0.0000424323
560.0000000000	0.0001864857	0.0097720898	0.0001435072	0.0019893109	0.0000423808
561.0000000000	0.0001856837	0.0097889044	0.0001478897	0.0020090044	0.0000450125
562.0000000000	0.0001848818	0.0098057189	0.0001522721	0.0020286979	0.0000476442
563.0000000000	0.0001840798	0.0098225335	0.0001566545	0.0020483913	0.0000502760
564.0000000000	0.0001832779	0.0098393481	0.0001610370	0.0020680848	0.0000529077
565.0000000000	0.0001824760	0.0098561627	0.0001654194	0.0020877783	0.0000555394
566.0000000000	0.0001837549	0.0098752102	0.0001712574	0.0021042680	0.0000578273
567.0000000000	0.0001850338	0.0098942578	0.0001770955	0.0021207577	0.0000601151
568.0000000000	0.0001863127	0.0099133053	0.0001829335	0.0021372475	0.0000624030
569.0000000000	0.0001875917	0.0099323528	0.0001887715	0.0021537372	0.0000646908
570.0000000000	0.0001888706	0.0099514004	0.0001946095	0.0021702269	0.0000669787
571.0000000000	0.0001880796	0.0099077342	0.0002052974	0.0021843989	0.0000674565
572.0000000000	0.0001872886	0.0098640680	0.0002159852	0.0021985709	0.0000679343
573.0000000000	0.0001864976	0.0098204018	0.0002266730	0.0022127428	0.0000684121
574.0000000000	0.0001857066	0.0097767356	0.0002373609	0.0022269148	0.0000688899
575.0000000000	0.0001849156	0.0097330695	0.0002480487	0.0022410867	0.0000693678
576.0000000000	0.0001804999	0.0095973238	0.0002651477	0.0022582005	0.0000668202
577.0000000000	0.0001760842	0.0094615782	0.0002822468	0.0022753143	0.0000642726
578.0000000000	0.0001716685	0.0093258325	0.0002993458	0.0022924282	0.0000617250
579.0000000000	0.0001672529	0.0091900868	0.0003164448	0.0023095420	0.0000591774
580.0000000000	0.0001628372	0.0090543412	0.0003335438	0.0023266558	0.0000566298
581.0000000000	0.0001598420	0.0088386398	0.0003606083	0.0023308662	0.0000529514
582.0000000000	0.0001568468	0.0086229384	0.0003876728	0.0023350767	0.0000492729
583.0000000000	0.0001538516	0.0084072369	0.0004147373	0.0023392871	0.0000455945
584.0000000000	0.0001508564	0.0081915355	0.0004418017	0.0023434975	0.0000419160
585.0000000000	0.0001478612	0.0079758341	0.0004688662	0.0023477080	0.0000382376
586.0000000000	0.0001463026	0.0077017555	0.0005054054	0.0023569383	0.0000372359
587.0000000000	0.0001447441	0.0074276769	0.0005419446	0.0023661686	0.0000362342
